Description ID,Event,Test ID,Day,Start Time,Location,Staff Required,Mark,UID,Scout Instructions,Base Instructions,Completed,Join
1,Entry on Time,1,0,00:00,Various,100,5,101,Enter before the closing date,Check on Excel,TRUE,"Enter before the closing date

Check on Excel"
2,Core Staff Arrive,0,0,18:00,Hawequas,100,0,102,,"Make sure all the keys are on the kitchen table, check the various rooms and make everything is ready for staff in morning.

Check campsites, that the correct numbers are in the fire drums as per the map. Put the map on the wall, along with programme, and all other important documents.

Set up admin and printing tables, along with back-up power. 

Run through the programme, allocate jobs and roles for the next day, and contingencies.",TRUE,
3,General Staff Arrive,0,1,09:30,Hawequas,800,0,103,,Staff arrive and park at top parking lot,TRUE,
4,Staff Briefing,0,1,10:00,House,800,0,104,,"Staff Briefing Talking Points:

- Introduction:
  - Warm welcome and gratitude for volunteering.
  - Emphasize the unique nature of this year's competition given the weather challenges and event size.

- Vision of the Competition:
  1. Skill Acquisition: Scouts and Adult Leaders alike should leave with new knowledge.
  2. Networking: Aiming for everyone to form at least one new connection.
  3. Experience: Ensuring a positive and memorable event for all, even in the face of challenges like the weather.
  4. Scout Development: Empowering Scouts to be proactive, adaptive, and innovative.
  5. Theme Adherence: Embrace the ""Director's Cut"" theme, making every activity cinematic and memorable.

- Interpersonal Dynamics:
  - Emphasize patience and mutual respect. Everyone brings unique skills and perspectives.
  - A positive environment is key. Even in stressful moments, remember the bigger picture and how much a smile can help.

- Engagement with Scouts:
  - Honesty and transparency are vital. Our goal is to mentor, not mislead.
  - Encourage questions and curiosity. If unsure about an answer, it's fine to admit it and find out together.

- Safety and Well-being:
  - With challenging weather, safety is paramount. Ensure every activity considers the well-being of participants.
  - Encourage open communication. If someone feels something is unsafe or has a concern, it should be voiced.

- Team Assignments and Preparations:
  1. Parking Team: Dylan and Sebastien – ensure smooth movement and organization of vehicles.
  2. Registration: Andrew – efficient check-in, ensuring all necessary forms and details are collected.
  3. Uniform Inspection: Daniel – maintaining standards and ensuring everyone is dressed appropriately.

- Feedback Mechanism:
  - Encourage staff to share feedback after each event segment. Continuous improvement is key.
  - Set up a feedback box or a designated person for collecting thoughts/suggestions.

- Closing:
  - Reiterate gratitude for everyone's dedication and hard work.
  - Remind everyone to keep the theme and objectives of the competition at the forefront.
  - End with a motivational note, emphasizing collaboration, enthusiasm, and the impact of this event on the Scouts.",TRUE,
5,Scout Arrival,0,1,10:45,Various,805,0,105,,"Various teams ready for arrival of Scouts, and for assisting with Traffic and unloading. Forrest teams to park at TOP parking lot to drop off trailers. Terrace teams to drop off trailers at Terrace parking. Teams will have 10 minutes to unhitch their trailer and keep moving.",TRUE,
6,Registration,2,1,11:00,Barn,807,10,106,,"PLs are to proceed to the Barn Foyer for registration. During registration:

1. PLs must hand in their summary sheet and all consent forms.
2. Scouts with missing or incomplete consent forms will be penalized.
3. Any scout missing a consent form must contact their parents to ensure that Andrew Venter receives a consent form. If parents are still present, blank forms will be available for completion.
",TRUE,"PLs are to proceed to the Barn Foyer for registration. During registration:

1. PLs must hand in their summary sheet and all consent forms.
2. Scouts with missing or incomplete consent forms will be penalized.
3. Any scout missing a consent form must contact their parents to ensure that Andrew Venter receives a consent form. If parents are still present, blank forms will be available for completion.
"
7,Uniform Inspection,3,1,11:00,Front Lawn,808,5,107,,"Inspect each scout's uniform based on the following criteria:

1. Uniformity: Ensure all scouts in a patrol have consistent attire, such as wearing or not wearing hats, choosing between shorts or long pants, and wearing the same type or general color of pants.
2. Badges: Check that badges are in their correct positions and are up to date
3. Neatness: Uniforms should be in good condition with no torn pants, should not be dirty, and shirts should be tucked in.
4. Scout belts: Ensure all scouts have their belts on.
5. Scarf and Woggle: Check if the scout scarf and woggle are present and neat.
6. Name Tags: All scouts should have name tags that are neat. Each name tag should display the scout's name, rank, and team number.
7. Do not penalize teams for wearing jamboree badges
",TRUE,"Inspect each scout's uniform based on the following criteria:

1. Uniformity: Ensure all scouts in a patrol have consistent attire, such as wearing or not wearing hats, choosing between shorts or long pants, and wearing the same type or general color of pants.
2. Badges: Check that badges are in their correct positions and are up to date
3. Neatness: Uniforms should be in good condition with no torn pants, should not be dirty, and shirts should be tucked in.
4. Scout belts: Ensure all scouts have their belts on.
5. Scarf and Woggle: Check if the scout scarf and woggle are present and neat.
6. Name Tags: All scouts should have name tags that are neat. Each name tag should display the scout's name, rank, and team number.
7. Do not penalize teams for wearing jamboree badges
"
8,Consent Form Check,0,1,11:00,Barn,801,0,108,,"Ensure each scout has submitted a signed consent form. Ensure all required fields are filled out. All medical conditions to be reported to Jonathan
",TRUE,
9,Lunch Prep,0,1,12:00,House,802,0,109,,Catering start prepping lunch,TRUE,
10,Media Crew (Opening Parade),0,1,13:00,Main Field,803,0,110,,"Use opening parade to get unique shots of staff, scouts and surroundings. Try different intro/exit transitions for special effects in post. Focus on candidness, and emotions, as well as sweeping scenes with the drone of the general area.",TRUE,
11,Opening Parade,4,1,13:30,Main Field,800,0,111,,"Welcome, flag party, introduction, house keeping, expectations, declare compeition open",TRUE,"Welcome, flag party, introduction, house keeping, expectations, declare compeition open"
12,Staff Lunch,0,1,13:45,House,800,0,112,,Ham and cheese sandwiches,TRUE,
13,Patrol Leader Briefing 1,5,1,13:45,Front Lawn,901,0,113,,"Provide the Patrol Leader (PL) with day 1 instructions:
1. Hand over the instructions document.
2. Distribute all STA hand-outs.
3. Discuss the day's expectations.
4. Go over the understanding of the weather forecast.
5. Address any questions from the PL.
6. Distribute personal event-packs.
7. Instruct on proper rubbish disposal methods.
",TRUE,"Provide the Patrol Leader (PL) with day 1 instructions:
1. Hand over the instructions document.
2. Distribute all STA hand-outs.
3. Discuss the day's expectations.
4. Go over the understanding of the weather forecast.
5. Address any questions from the PL.
6. Distribute personal event-packs.
7. Instruct on proper rubbish disposal methods.
"
14,"Fun Memes, Trivia and Quotes (Staff)",0,1,14:00,House,810,0,114,,"Create light hearted trivia, memes and things for staff",TRUE,
15,Media Crew (Hawquas General and Fillers),0,1,14:00,Hawequas,803,0,115,,"Capture unique aspects of Hawequas, and of the Scouts/Staff in action. Try different intro/exit transitions for special effects in post. Focus on candidness, and emotions, as well as sweeping scenes with the drone",TRUE,
16,Clouds Identification,6,1,14:00,Chapel,106,5,116,"To protect your camera gear while shooting outdoors, it is best to know how the weather may turn. Identify the four clouds on the page and mention the weather associated with each.","Scouts to identify the four clouds on the page and mention the weather associated with each, matching the cloud to the number on the laminated sheet. 1 point if both cloud name and weather are correct for each:

1. Cumulonimbus - thunderclouds producing thunder and lightning. 
2. Stratus - overcast weather, produce drizzle or fine snow.
3. Cirrus - few clouds mean fair weather or change of weather occurring in the next 24 hours.
4. Nimbostratus - rain or snow",TRUE,"To protect your camera gear while shooting outdoors, it is best to know how the weather may turn. Identify the four clouds on the page and mention the weather associated with each.

Scouts to identify the four clouds on the page and mention the weather associated with each, matching the cloud to the number on the laminated sheet. 1 point if both cloud name and weather are correct for each:

1. Cumulonimbus - thunderclouds producing thunder and lightning. 
2. Stratus - overcast weather, produce drizzle or fine snow.
3. Cirrus - few clouds mean fair weather or change of weather occurring in the next 24 hours.
4. Nimbostratus - rain or snow"
