event_id	day	start_time	end_time	old_event_id	test_id	name	location	judges	scouts	description	print_staff_doc
1	0	14:00	16:00	1	-1	Packing start	The Hall	DL, HR, CC, JaW, TB, LS, TV			FALSE
2	0	16:00	16:40	2	-1	Driving to Camp		DL, HR, CC, JaW, TB, LS, TV			FALSE
3	0	16:50	18:00	3	-1	Facilities setup 	Camp	DL, HR, CC, JaW, TB, LS, TV		set up: HQ, bathrooms, signs, kitchen, campsites, flagpole, storage.	FALSE
4	0	17:30	18:00	4	-1	Dinner prep	Kitchen	DL, HR, CC, JaW, TB, LS, TV		Cook dinner	FALSE
5	0	18:00	18:40	5	-1	Dinner 	HQ	DL, HR, CC, JaW, TB, LS, TV		Eat dinner	FALSE
6	0	18:40	19:20	6	-1	Final facilities		DL, HR, CC, JaW, TB, LS, TV		Finish setting up	FALSE
7	0	19:20	20:00	7	-1	Doc Organisation and base layout	HQ	DL, HR, CC, JaW, TB, LS, TV		organise doccuments and arrange equipment for the bases.	FALSE
8	0	20:00	21:00	8	-1	Final organisation		DL, HR, CC, JaW, TB, LS, TV			FALSE
9	0	21:00	22:00	9	-1	Staff chill time	HQ	DL, HR, CC, JaW, TB, LS, TV			FALSE
10	0	23:00	06:00	10	-1	lightsout		DL, HR, CC, JaW, TB, LS, TV			FALSE
11	1	06:00	07:30	11	-1	Wake up		DL, HR, CC, JaW, TB, LS, TV			FALSE
12	1	07:30	08:00	12	-1	Breakfast prep and final prep	Kitchen	DL, HR, CC, JaW, TB, LS, TV			FALSE
13	1	08:00	08:30	13	-1	breakfast and staff arrivals	HQ	All			FALSE
14	1	08:50	09:20	14	-1	Staff briefing	HQ	All			TRUE
15	1	09:20	09:50	15	-1	Final organisation		All		Register, staff tents, name tags.	FALSE
16	1	10:00	12:00	16	-1	Traffic control		DL, CC, CS, JaW			TRUE
17	1	10:00	12:00	17	-1	Gates open		N/A			TRUE
18	1	10:20	11:20	18	-1	Regestration	House	MR, JaW, PB, JC, 			TRUE
