Test ID,Test,Short Description,Long Description,Type,Day,Start Time,Duration (minutes),End Time,Staff Required,PL,APL,P3,P4,P5,P6,P7,P8,Equipment (judges),Equipment (scouts),Documents Required,Location,Marks,Long Description,Staff,count
1,1,Entry on Time,,Admin,1,00:00,,00:00,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,5,Entry on time.,,
2,2,Registration,"Standard registration for teams. Scouts must present their team list, the lanyards they have pre-made and all the consent forms. ",Admin,1,12:00,60,13:00,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3x tables, 6x chairs",,"7x Team Register, 7x Site allocation map",Barn,10,PLs are to go to Barn Foyer for registration. PLs to hand in summary sheet and consent forms. Scouts without consent forms or incomplete forms are penalised. Team registration on time - 1 point,"34, 32, 20, 29, 35, 1",6
3,3,Uniform Inspection,"Initial uniform inspection that is carried out just after teams register. This inspection covers main aspects of uniform, like year badges, patrol flashes, scarves, etc.",Inspection,1,13:00,60,14:00,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,7x mark sheets,Barn,5,,"6, 18, 42, 40, 31, 39",6
4,10,Clouds Identification,Scouts are given 5 random cloud images (out of a total of 10) and asked to identify them. ,Backwoods,1,14:00,60,15:00,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,"7x Cloud Images, 7x Solutions, 7xMark sheets",Chapel,5,,"20, 1, 35, 41, 2",5
5,31,Water Purification,"Scouts must construct a standard water filter with a 2L plastic bottle. This water filter must contain charcoal, rocks, sand and cotton wool.",Backwoods,1,14:00,60,15:00,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,bin for rubbish,"1x 2l water bottle, 1x handful of: charcoal, sand, rocks",7x Mark sheets,Dam,10,,"15, 9, 7, 10, 3",5
6,34,Compass Rose,The scout must draw a 16-point compass rose,Mapping,1,14:00,60,15:00,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,1x pen and notepad,"7x Base instructions, 7x Mark Sheets",Barn,10,,"8, 11, 12, 17, 4",5
7,6,Magnetic Declination,"A scout is shown 3 items that they must take bearings of. They must report these bearings as True North bearings. They are then asked to orientate their compass to two bearings, given to them as True North. They must describe what the compass is pointing to.",Mapping,1,14:30,60,15:30,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"1x compass, 1x pen, 1x notepad","7x Base instructions, 7x Mark Sheets",Field,10,,"16, 21, 19, 22, 5",5
8,7,Spanish Windlass,Scouts must construct a spanish windlass to move a bench a certain distance. They must also explain the safety precautions necessary when making use of a spanish windlass,Pioneering,1,14:30,60,15:30,8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"2x vehicle to be winched, 2x thick rope, somewhere to tie rope",2x stave,"9x diagram of windlass, 9x Mark Sheets",Campfire,10,Move the Penguin Killer 9000 (tm),"6, 26, 25, 28, 24",5
9,33,Ground to Air Signals,A set of ground to air signals are set out on the ground. The scouts must describe what the symbols mean. They must then draw two separate symbols that the staff ask them to draw.,Backwoods,1,15:00,60,16:00,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,"9x GtA symbols, 9x Mark Sheets",Lower Field,10,,"40, 31, 32, 36, 34",5
10,35,First Aid Carry + Fracture,"Upon arrival, scouts are told that the P8 has fractured their leg and can no longer walk. They must treat the injury and then transport the scout - by means of a carry - to a location determined by the staff",First Aid,1,15:00,60,16:00,10,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,1x first aid kit,"1x first aid kit, 4x stave, 6x rope (stretcher?)","11x base instructions, 11x Mark Sheets",Field,10,,"29, 33, 37, 38",4
