Equipment-Allocation ID,Event,Test ID,Day,Start Time,Location,Staff Required,Equipment-Event ID,UID,Item,Quantity,Type,Have,Notes
1,Scout Arrival,0,1,10:45,Various,805,1,105,Radio,8,Staff,FALSE,
2,Registration,2,1,11:00,Barn,807,1,106,Table,4,Staff,FALSE,
3,Registration,2,1,11:00,Barn,807,2,106,Chair,4,Staff,FALSE,
4,Registration,2,1,11:00,Barn,807,3,106,Radio,4,Staff,FALSE,
5,Registration,2,1,11:00,Barn,807,4,106,Collection Tray,4,Staff,FALSE,
6,Consent Form Check,0,1,11:00,Barn,801,1,108,Radio,2,Staff,FALSE,
7,Lunch Prep,0,1,12:00,House,802,1,109,Kitchen Equipment,1,Staff,FALSE,
8,Lunch Prep,0,1,12:00,House,802,2,109,Lunch food,1,Staff,FALSE,
9,Media Crew (Opening Parade),0,1,13:00,Main Field,803,1,110,"All camera, film and media equipment",1,Staff,FALSE,
10,Media Crew (Opening Parade),0,1,13:00,Main Field,803,2,110,Radio,2,Staff,FALSE,
11,Media Crew (Hawquas General and Fillers),0,1,14:00,Hawequas,803,1,115,"All camera, film and media equipment",1,Staff,FALSE,
12,Media Crew (Hawquas General and Fillers),0,1,14:00,Hawequas,803,2,115,Radio,2,Staff,FALSE,
13,Clouds Identification,6,1,14:00,Chapel,106,1,116,Radio,3,Staff,FALSE,
14,Water Purification,7,1,14:00,Dam,106,1,117,Radio,3,Staff,FALSE,
15,Water Purification,7,1,14:00,Dam,106,2,117,Misc Filter Resources,1,Scout,FALSE,
16,Water Purification,7,1,14:00,Dam,106,3,117,Mucky Water,1,Staff,FALSE,
17,Compass Rose,8,1,14:00,Barn,106,1,118,Radio,3,Staff,FALSE,
18,Compass Rose,8,1,14:00,Barn,106,2,118,Pen,1,Scout,FALSE,
19,Compass Rose,8,1,14:00,Barn,106,3,118,Paper,1,Scout,FALSE,
20,Magnetic Declination,9,1,14:30,L2,106,1,119,Radio,3,Staff,FALSE,
21,Magnetic Declination,9,1,14:30,L2,106,2,119,Compass,6,Staff,FALSE,
22,Magnetic Declination,9,1,14:30,L2,106,3,119,Compass,1,Scout,FALSE,
23,Spanish Windlass,10,1,14:30,Campfire,108,1,120,Radio,4,Staff,FALSE,
