Base ID, Judges, Median Competency,AverageCompetency,Num
2, 5-6-7-15-29-32, 2.5, 2.6666666666666665, 6
3, 3-16-22-29-35-36, 2.5, 2.6666666666666665, 6
4, 6-9-13-27-29-38, 2.5, 2.6666666666666665, 6
5, 2-11-15-17-21-39, 2.5, 2.6666666666666665, 6
6, 3-8-18-24-34-40, 2.5, 2.6666666666666665, 6
7, 7-12-16-22-23-35, 2.5, 2.6666666666666665, 6
8, 1-14-19-20-25-30-31-43, 2.5, 2.625, 8
9, 4-8-11-15-21-36-39-42, 2.5, 2.625, 8
10, 3-5-6-9-13-18-24-27-29-37, 3.0, 2.9, 10
11, 1-7-16-19-20-25-28-31-32-34, 3.0, 3.0, 10
12, 22-23-30-35-38-40, 2.5, 2.6666666666666665, 6
13, 6-8-13-26-27-33-36-39, 2.5, 2.625, 8
14, 2-3-9-11-14-15-21-24-29-43, 3.0, 2.9, 10
15, 7-20-22-23-28-35, 2.5, 2.6666666666666665, 6
16, 1-5-18-19-25-31-32-34-40-42, 3.0, 3.0, 10
17, 4-6-15-16-27-43, 2.5, 2.6666666666666665, 6
18, 3-8-10-14-17-21-24-39, 2.5, 2.625, 8
19, 9-11-13-26-29-30-33-36-37-38, 3.0, 3.1, 10
20, 5-7-19-22-23-25-31-34-35-40, 3.0, 3.0, 10
21, 1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43, 3.0, 2.9047619047619047, 42
22, 1-3-5-11-15-20, 2.5, 2.6666666666666665, 6
23, 14-17-22-31-41, 3.0, 3.0, 5
24, 4-6-9-21-23-25-38-39, 2.5, 2.625, 8
25, 8-13-19-27-29-43, 2.5, 2.6666666666666665, 6
26, 3-6-9-11-12-13-15-16-18-21-22-25-28-30-31-32-35-41-42-43, 3.0, 3.0, 20
27, 1-2-4-7-8-14-17-19-20-23-24-27-29-33-34-36-37-38-39-40, 3.0, 2.75, 20
28, 1-8-9-11-20-27-33-34-36-39, 3.0, 3.0, 10
29, 5-14-16-17-19-21-25-32-35-37, 3.0, 3.0, 10
30, 2-3-6-13-22-24-26-31-38-40, 3.0, 3.0, 10
31, 4-15-18-23-28-29-30-41-42-43, 3.0, 2.5, 10
32, 1-13-17-27-40-43, 2.5, 2.6666666666666665, 6
33, 20-22-23-26-34-35, 2.5, 2.6666666666666665, 6
34, 4-10-14-29-31-32, 2.5, 2.6666666666666665, 6
35, 8-9-11-15-19-21-24-28-39-41, 3.0, 3.0, 10
36, 1-20-24-30-38-39, 2.5, 2.6666666666666665, 6
37, 11-13-17-23-35-43, 2.5, 2.6666666666666665, 6
38, 5-7-8-12-16-18-21-22-25-42, 3.0, 3.0, 10
39, 2-4-8-14-16-25-31-32-36-42, 3.0, 3.0, 10
40, 6-13-19-24-38-39, 2.5, 2.6666666666666665, 6
41, 3-11-12-14-21-40, 2.5, 2.6666666666666665, 6
42, 5-7-22-23-29-31, 2.5, 2.6666666666666665, 6
43, 1-15-16-26-28-32, 2.5, 2.6666666666666665, 6
44, 18-20-27-30-35-43, 2.5, 2.6666666666666665, 6
45, 4-8-17-25-34-37, 3.5, 3.5, 6
46, 2-9-10-33-36-42, 3.5, 3.5, 6
47, 13-19-20-21-24-26-27-31-34-43, 3.0, 3.0, 10
48, 1-5-8-9-24-28-29-30-32-40, 3.0, 3.0, 10
49, 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-42-43, 3.0, 2.9047619047619047, 42
